Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
14.066953978	freqmine	102.0	34.5	5.08	0.162	60517875	375366	7896044	14640977	21560329	186026
14.525772232	freqmine	102.0	34.5	5.08	0.162	56287267	539868	10907635	16386024	24250088	233073
0.501098525	streamcluster	102.0	35.0	5.08	0.203	50827742	279732	11334966	24031827	24997781	150860
1.003254318	streamcluster	102.0	34.5	5.08	0.203	51385682	339732	7264277	13973670	19179616	162553
1.505196928	streamcluster	102.0	35.0	5.08	0.203	50572003	335415	7242560	13947006	19003406	160169
2.007276990	streamcluster	102.0	35.0	5.08	0.203	50328348	333672	7305777	14138506	19061631	157246
2.509562371	streamcluster	102.0	34.5	5.08	0.203	50446726	329412	7495093	14587969	19302830	156337
3.011535140	streamcluster	102.0	35.0	5.08	0.203	50315273	326899	7533708	14687898	19305552	154226
3.513859897	streamcluster	102.0	34.5	5.08	0.203	50961649	332635	7619123	14823719	19602846	156284
4.016150175	streamcluster	102.0	35.0	5.08	0.203	49970259	317153	7643141	15017068	19343566	153908
4.517833875	streamcluster	102.0	35.0	5.08	0.203	50635602	322065	7747540	15153403	19656132	155914
5.020306450	streamcluster	102.0	35.0	5.08	0.203	50174797	319093	7518531	14715822	19248861	154227
5.522055621	streamcluster	102.0	34.5	5.08	0.203	48557900	309906	7461297	14702762	18873119	149568
6.024355953	streamcluster	102.0	35.0	5.08	0.203	50887103	319320	7853384	15476128	19754380	158208
6.525991111	streamcluster	102.0	35.0	5.08	0.203	50651384	318322	7608006	14860372	19425399	157042
7.028259099	streamcluster	102.0	35.0	5.08	0.203	51191515	319676	7905651	15634439	19939401	157829
7.530598599	streamcluster	102.0	34.5	5.08	0.203	51067402	315905	7910844	15559159	19878133	156966
8.032827473	streamcluster	102.0	35.0	5.08	0.203	49346847	304127	7712434	15275374	19291779	150872
8.534785558	streamcluster	102.0	34.5	5.08	0.203	49747620	305053	7875980	15572348	19594394	153485
9.036824010	streamcluster	102.0	35.0	5.08	0.203	50115041	302878	7946437	15757139	19709639	152007
9.538893401	streamcluster	102.0	35.0	5.08	0.203	50528590	307905	8036505	15889329	19861145	154559
10.040973470	streamcluster	102.0	35.0	5.08	0.203	50915059	306497	8177533	16274650	20114298	154488
10.542876660	streamcluster	102.0	35.0	5.08	0.203	50958130	308812	8075617	16041362	20045864	154649
11.044997616	streamcluster	102.0	35.0	5.08	0.203	50413423	303361	8147519	16135830	20033582	150430
11.547064457	streamcluster	102.0	34.5	5.08	0.202	50228340	295665	8060828	16071244	19855362	153315
12.049178018	streamcluster	102.0	34.5	5.08	0.243	51217155	301676	8493332	16939560	20565702	153323
12.551116002	streamcluster	102.0	35.0	5.08	0.162	49932855	298272	8141440	16221864	19943496	152203
13.053148312	streamcluster	102.0	34.5	5.08	0.162	50804661	304793	9035881	17776491	21139553	155662
13.554967699	streamcluster	102.0	35.0	5.08	0.162	50394319	312042	8061047	15947812	20166316	152210
14.057370436	streamcluster	102.0	35.0	5.08	0.162	63132633	377503	8365136	15867896	22685880	201006
14.364652292	streamcluster	102.0	35.0	5.08	0.162	41957601	241680	5719227	11011607	15198647	139370
0.502353582	streamcluster	102.0	34.5	5.08	0.203	51044429	279797	11400650	24138808	25134905	132914
1.004815240	streamcluster	102.0	35.0	5.08	0.203	50808945	338589	7213209	13878512	18999111	163029
1.506977827	streamcluster	102.0	35.0	5.08	0.203	50664784	335085	7255117	13931002	18977244	162647
2.008935463	streamcluster	102.0	35.0	5.08	0.203	50898398	331331	7372762	14225162	19176349	162493
2.512446003	streamcluster	102.0	35.0	5.08	0.203	50427055	326649	7499894	14569440	19264550	161645
3.014383481	streamcluster	102.0	35.0	5.08	0.203	49803892	321636	7504953	14599569	19177947	157672
3.516364295	streamcluster	102.0	35.0	5.08	0.203	50656062	322286	7605447	14745067	19413813	160242
4.018396569	streamcluster	102.0	35.0	5.08	0.203	51754529	325627	7890545	15422310	19994745	161975
4.520654838	streamcluster	102.0	34.5	5.08	0.203	50474651	319506	7699220	15091494	19461489	159190
5.022732270	streamcluster	102.0	35.0	5.08	0.203	51110958	319973	7815588	15281926	19757505	162073
5.524752565	streamcluster	102.0	35.0	5.08	0.203	50594375	315107	7717038	15153155	19545375	159348
6.027342511	streamcluster	102.0	34.5	5.08	0.203	51345689	318935	7913013	15546211	19875458	161673
6.528992068	streamcluster	102.0	34.5	5.08	0.203	50865984	317377	7677890	14960927	19503288	159074
7.031018928	streamcluster	102.0	34.5	5.08	0.203	50562938	313017	7812760	15391862	19615097	159065
7.533711325	streamcluster	102.0	35.0	5.08	0.203	51387183	313763	7983006	15700083	20033607	161488
8.035361405	streamcluster	102.0	34.5	5.08	0.203	51057041	311760	8084048	15935417	20001763	159655
8.537609833	streamcluster	102.0	35.0	5.08	0.243	50011755	305493	7855508	15520389	19549294	155537
