Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
6.511611011	blackscholes	1	204	36.5	5.072	0.324	101394182	597288	17198913	33763677	41313567	296771
6.94394803	blackscholes	1	204	36.5	5.072	0.324	109884899	635111	14545804	27324630	39056969	341665
0.500395767	blackscholes	1	307.2	36.5	5.072	0.405	152689816	916352	25945251	51880196	62742957	434952
1.001012425	blackscholes	1	307.2	36.5	5.072	0.405	155305976	969451	23087078	44554439	58720916	464700
1.501664553	blackscholes	1	307.2	36.5	5.072	0.405	153995274	935077	23434046	45555611	58803644	458031
2.002228815	blackscholes	1	307.2	36.5	5.072	0.405	153806509	922710	23420044	45709277	58673754	455833
2.503096417	blackscholes	1	307.2	36.5	5.072	0.405	154957820	913654	23978402	47002743	59478644	460140
3.003686618	blackscholes	1	307.2	36.5	5.072	0.405	155412593	892676	24657681	48501113	60392711	459948
3.504241453	blackscholes	1	307.2	36.5	5.064	0.405	152910890	879481	24336359	48010195	59462690	450268
4.004808736	blackscholes	1	307.2	36.5	5.056	0.404	154342370	868283	25256751	50055622	60853031	450178
4.505356436	blackscholes	1	307.2	36.5	5.064	0.405	167787859	949391	26402262	51244174	65029773	495129
4.650596168	blackscholes	1	307.2	36	5.064	0.405	53154741	302566	6952823	12957836	18546724	165365
0.500362862	blackscholes	1	307.2	36	5.072	0.405	153970375	934424	26093202	52165233	63166945	438037
1.001115214	blackscholes	1	307.2	36.5	5.072	0.405	154591299	965617	22913878	44239257	58470854	455373
1.501660321	blackscholes	1	307.2	36	5.072	0.405	152968498	939482	23245728	45156337	58448140	443433
2.002534394	blackscholes	1	307.2	36.5	5.072	0.405	153845207	926522	23599478	46085804	58981066	445688
2.503097263	blackscholes	1	307.2	36	5.072	0.405	154551561	919377	23776532	46544999	59284971	452182
3.003641537	blackscholes	1	307.2	36.5	5.072	0.405	153723156	901285	24527446	48211645	60039558	445579
3.504316805	blackscholes	1	307.2	36.5	5.064	0.405	154277962	888103	24509190	48337989	59931140	445421
4.004995198	blackscholes	1	307.2	36	5.072	0.405	155319383	876900	25527006	50569566	61403809	441075
4.505639788	blackscholes	1	307.2	36.5	5.072	0.405	168089443	971568	25900352	49845790	64518586	489693
4.614319206	blackscholes	1	307.2	36	5.072	0.405	40570588	224041	5307764	10147952	14185026	131180
0.50048293	blackscholes	1	307.2	36.5	5.072	0.405	151228083	904952	25643047	51353640	61982331	422337
1.001256596	blackscholes	1	307.2	36	5.064	0.405	154630258	963741	22832526	44091380	58283545	454511
1.501766923	blackscholes	1	307.2	36	5.072	0.405	155034861	942604	23448435	45560040	59034740	455000
2.002453922	blackscholes	1	307.2	36	5.072	0.405	152607494	913006	23331751	45650472	58400652	445957
2.503142275	blackscholes	1	307.2	36	5.072	0.405	155248701	918997	24073003	47113233	59828183	450811
3.003850159	blackscholes	1	307.2	36	5.072	0.405	155592912	900506	24640178	48497564	60550523	451314
3.50441528	blackscholes	1	307.2	36.5	5.072	0.405	154309566	883719	24541452	48457973	60062762	443454
4.004958161	blackscholes	1	307.2	36.5	5.072	0.405	156618126	880940	25859380	51285543	62193757	443114
4.505508282	blackscholes	1	307.2	36.5	5.072	0.405	168979739	967902	25815567	49649816	64469424	492595
4.600148193	blackscholes	1	307.2	36.5	5.072	0.405	39233913	211402	5187521	9918052	13765101	127012
0.500299551	blackscholes	1	403.2	36.5	5.064	0.526	201461529	1207948	32793409	64894566	80333629	563534
1.000803587	blackscholes	1	403.2	36	5.064	0.486	200943663	1218930	29898553	57876267	75625331	574896
1.501359864	blackscholes	1	403.2	36.5	5.064	0.486	201529242	1191238	30526441	59545771	76305089	574291
2.001918902	blackscholes	1	403.2	36	5.064	0.486	203083445	1174972	31112068	60798205	77251727	578827
2.502371427	blackscholes	1	403.2	36.5	5.064	0.486	201486917	1140437	31926471	62840103	77871904	568516
3.003013592	blackscholes	1	403.2	36	5.064	0.486	202398028	1131873	32713557	64595277	79128667	570470
3.503580547	blackscholes	1	403.2	36.5	5.064	0.486	217606720	1209021	33070981	63899212	82246900	631674
3.547880847	blackscholes	1	403.2	36.5	5.072	0.486	23612763	132794	3143680	5903388	8323674	75624
0.500419618	blackscholes	1	403.2	36.5	5.064	0.486	202511629	1200970	32894568	65147391	80576479	576354
1.000938874	blackscholes	1	403.2	36.5	5.072	0.526	201111300	1217232	29961380	58046343	75727615	588330
1.501503548	blackscholes	1	403.2	36	5.064	0.486	200832316	1188907	30527250	59506833	76308732	586316
2.002128536	blackscholes	1	403.2	36.5	5.064	0.486	201516278	1162939	30967188	60623907	76835932	583571
2.5027167	blackscholes	1	403.2	36	5.064	0.486	202508769	1135655	32154353	63274994	78432750	578945
3.003264447	blackscholes	1	403.2	36.5	5.064	0.486	202789056	1117399	32521003	64332896	78837901	587286
3.503796256	blackscholes	1	403.2	36	5.064	0.486	219643780	1225433	33098187	63756756	82732888	641585
3.539379521	blackscholes	1	403.2	36	5.064	0.486	16084362	83573	2260671	4385628	5698987	56048
0.500388951	blackscholes	1	403.2	36	5.072	0.486	202232283	1209941	32864204	65019936	80533575	560684
1.000997282	blackscholes	1	403.2	36	5.072	0.486	202985273	1223693	30351461	58733131	76538656	583130
1.501575405	blackscholes	1	403.2	36	5.064	0.486	202107171	1185283	30764762	59959269	76705873	578189
2.002020347	blackscholes	1	403.2	36	5.064	0.486	202803208	1176362	31147590	60932404	77263903	579573
2.502450445	blackscholes	1	403.2	36.5	5.064	0.486	202626770	1148343	32143113	63221151	78490163	571637
3.003064663	blackscholes	1	403.2	36	5.064	0.486	202595857	1132257	32785011	64826363	79197444	570301
3.503627994	blackscholes	1	403.2	36	5.064	0.486	222550458	1254218	33444291	64388440	83838323	636834
3.534970583	blackscholes	1	403.2	36	5.064	0.486	14959554	75995	2142602	4160289	5361574	50978
0.500350522	blackscholes	1	518.4	36	5.064	0.607	259959808	1543488	40905334	80729884	101099508	718476
1.000807089	blackscholes	1	518.4	36	5.064	0.567	260230458	1533013	38762939	75448428	97326600	724069
1.501279125	blackscholes	1	518.4	36	5.064	0.567	258428031	1483561	38930880	76089329	96992383	718405
2.00165246	blackscholes	1	518.4	36.5	5.064	0.567	259287617	1447804	40266139	79337753	98785146	715060
