#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
2.002643609	blackscholes	307.2	36.5	5.072	0.405	149869303	13117	57668989	5062061	4679883	149867578
2.503230433	blackscholes	307.2	36.5	5.072	0.405	150818958	13238	58074408	5083633	4626249	150817734
3.003788609	blackscholes	307.2	36.5	5.072	0.365	152005316	13471	59595270	5046852	4692559	152004350
3.504515271	blackscholes	307.2	36.5	5.072	0.365	150495899	13360	58668780	5004669	4726223	150496067
4.005501471	blackscholes	307.2	36.0	5.072	0.405	150014739	13195	59518149	4900626	4636815	149997253
4.506622250	blackscholes	307.2	36.5	5.072	0.405	154444423	13217	61251496	4957506	4688737	154459174
4.715583378	blackscholes	307.2	36.0	5.072	0.365	81327170	7700	28759768	2752202	2437989	81295564
0.500419567	blackscholes	403.2	36.5	5.072	0.486	199482128	15149	79537167	6407034	5609882	199514785
1.001058974	blackscholes	403.2	36.5	5.072	0.486	198341950	16212	74778883	6675188	5890979	198348502
1.501511970	blackscholes	403.2	36.5	5.072	0.446	198649277	17110	75419644	6604371	6132313	198639575
2.001961988	blackscholes	403.2	37.0	5.072	0.486	197530002	17294	75459388	6525308	6125197	197530016
2.502410703	blackscholes	403.2	36.5	5.072	0.486	196675202	17153	76263722	6426089	6026648	196671003
3.002991758	blackscholes	403.2	36.5	5.072	0.486	197759099	17448	77212415	6400272	6099505	197807511
3.503566093	blackscholes	403.2	36.5	5.072	0.446	209292041	17901	81236955	6611548	6141347	209244004
3.621171536	blackscholes	403.2	37.0	5.072	0.486	56150837	5227	19440906	1899083	1802433	56116705
0.500333750	blackscholes	403.2	36.5	5.072	0.486	198786879	15086	79618774	6245683	5581777	198830802
1.000982711	blackscholes	403.2	36.0	5.064	0.486	198131860	16322	74984877	6591210	5928552	198120039
1.501515624	blackscholes	403.2	36.5	5.072	0.486	196638142	16900	75013995	6479872	5858482	196634900
2.002089315	blackscholes	403.2	36.5	5.072	0.486	197827535	17302	75674364	6507812	6030703	197828453
2.502632323	blackscholes	403.2	36.5	5.072	0.486	199082323	17477	77423561	6434244	5985106	199078191
3.003069594	blackscholes	403.2	36.5	5.072	0.486	199119106	17490	78005289	6362819	6022323	199118388
3.503628011	blackscholes	403.2	36.5	5.072	0.446	213636529	18486	82180045	6741942	6298293	213640004
3.592258506	blackscholes	403.2	36.5	5.072	0.486	43239983	4022	15022423	1471782	1393378	43203152
0.500430862	blackscholes	403.2	36.5	5.072	0.486	198790693	15132	79614443	6350913	5634635	198822920
1.000955366	blackscholes	403.2	36.5	5.072	0.486	198622055	16467	75238481	6617860	5994871	198622244
1.501535025	blackscholes	403.2	36.0	5.072	0.446	198783063	17020	75663041	6598227	6069064	198780348
2.002348278	blackscholes	403.2	36.5	5.072	0.486	198901135	17501	76278209	6540947	6035936	198866807
2.503193250	blackscholes	403.2	36.5	5.072	0.486	198778844	17444	77354326	6456595	6025375	198810857
3.003723257	blackscholes	403.2	36.5	5.072	0.486	196204642	17259	76562191	6335118	6022255	196202760
3.504218470	blackscholes	403.2	36.5	5.072	0.486	212284213	18323	81631154	6749368	6276725	212283194
3.573611766	blackscholes	403.2	37.0	5.072	0.486	38704621	3702	13490734	1289763	1195020	38671610
0.501532646	blackscholes	518.4	36.5	5.064	0.567	254823880	19450	99335221	7936756	7061826	254856172
1.001972655	blackscholes	518.4	36.5	5.064	0.567	255083556	21127	95609941	8264131	7421008	255079719
1.502360000	blackscholes	518.4	36.5	5.064	0.567	254725900	21950	95767603	8202831	7665060	254728137
2.002846982	blackscholes	518.4	36.5	5.064	0.567	255892349	22032	97829845	8117722	7548367	255891924
2.503458908	blackscholes	518.4	36.5	5.064	0.567	252818144	21913	97635947	7941193	7496336	252823345
2.859242085	blackscholes	518.4	36.5	5.064	0.567	204564256	17687	75624285	6404454	5816872	204520591
0.500352558	blackscholes	518.4	36.5	5.072	0.567	253382390	19304	98495942	7912267	7120521	253414967
1.000799128	blackscholes	518.4	36.5	5.064	0.567	254053789	21098	95267187	8228329	7384783	254053935
1.501267672	blackscholes	518.4	37.0	5.064	0.567	254040065	22017	95772819	8189151	7463729	254038026
2.001719650	blackscholes	518.4	36.5	5.064	0.567	253531763	21913	97113243	8040627	7505301	253531708
2.502213031	blackscholes	518.4	37.0	5.064	0.567	253783886	22157	98320342	7941515	7517486	253787061
2.851436379	blackscholes	518.4	36.5	5.064	0.567	199735818	17275	73765235	6254551	5779475	199693943
0.500367875	blackscholes	518.4	36.5	5.072	0.607	255563791	19500	99665309	8010383	7118394	255596422
1.000903721	blackscholes	518.4	37.0	5.064	0.567	255385854	21155	95925254	8291593	7432682	255383140
1.501359351	blackscholes	518.4	36.5	5.064	0.567	254958466	21879	96051343	8240928	7608898	254958673
2.001838989	blackscholes	518.4	36.5	5.064	0.567	252652500	21904	96617008	8055097	7548508	252651151
2.502217214	blackscholes	518.4	36.5	5.064	0.567	255238279	22153	98944314	8022038	7576200	255237139
2.830382163	blackscholes	518.4	36.5	5.064	0.567	187839843	16299	69289123	5889325	5302566	187803941
0.500235642	blackscholes	614.4	36.5	5.064	0.607	303308687	23093	116145156	9393739	8315722	303343859
1.000837019	blackscholes	614.4	37.5	5.064	0.648	302602364	25082	112216955	9650657	8754156	302598307
1.501170573	blackscholes	614.4	37.0	5.064	0.648	302306378	25858	113317381	9530511	8821664	302306892
2.001580166	blackscholes	614.4	37.0	5.064	0.648	298734113	25770	113755979	9299962	8746668	298728762
2.434748846	blackscholes	614.4	36.5	5.064	0.648	284386551	24237	105564518	8727293	8130892	284352132
0.500315712	blackscholes	614.4	37.0	5.064	0.648	302689388	23114	115899728	9415085	8319402	302725040
1.000804704	blackscholes	614.4	37.0	5.064	0.648	300902537	24999	111070412	9661915	8810544	300899340
1.501138534	blackscholes	614.4	37.0	5.064	0.648	303585980	25900	113780771	9630907	8900967	303584409
2.001469649	blackscholes	614.4	37.0	5.064	0.648	302982121	26206	114947142	9482152	8804080	302977775
2.401072295	blackscholes	614.4	37.5	5.064	0.648	262415876	22453	96757834	8140112	7521013	262381316
0.500317241	blackscholes	614.4	37.0	5.064	0.648	302272824	23001	115678601	9304388	8259035	302304344
1.000749272	blackscholes	614.4	37.5	5.064	0.648	301063738	25036	111459538	9531574	8652599	301065066
1.501177187	blackscholes	614.4	37.5	5.064	0.648	303774389	26001	114295957	9502175	8724800	303771434
2.001596294	blackscholes	614.4	37.5	5.064	0.648	301859716	25959	114796698	9318812	8774700	301856665
2.415604062	blackscholes	614.4	37.5	5.064	0.648	271432771	23250	100335919	8291601	7672055	271398215
0.500266224	blackscholes	710.4	37.0	5.064	0.688	347859346	26306	131268582	10623904	9358508	347890614
