Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	INST_RETIRED	BUS_CYCLES	L1I_CACHE	BR_PRED
3.002978173	blackscholes	403.2	35.5	5.064	0.486	202924928	64244582	153622147	202921944	78909947	32598921
3.503534485	blackscholes	403.2	35.0	5.064	0.486	215950958	63692572	154043766	215951006	82048341	33032883
3.554022536	blackscholes	403.2	35.5	5.064	0.445	27987976	7074512	17090741	27966444	9785500	3697868
0.500325590	blackscholes	403.2	35.0	5.064	0.445	199008331	64153887	153528014	199029813	79239685	32474486
1.000981707	blackscholes	403.2	35.0	5.064	0.526	202592108	58561907	140587434	202588113	76383648	30381671
1.501517041	blackscholes	403.2	35.0	5.064	0.486	202120065	59760341	143260740	202120383	76595573	30742569
2.002010655	blackscholes	403.2	35.0	5.064	0.486	201378039	60315970	144537733	201355761	76590203	30944372
2.502508228	blackscholes	403.2	35.0	5.064	0.486	201396368	62761581	150346956	201417642	77985457	32010171
3.004920838	blackscholes	403.2	35.5	5.064	0.486	202649700	64289516	153847305	202645606	78859241	32639379
3.505372317	blackscholes	403.2	35.0	5.064	0.445	217802376	65749741	158869572	217804334	83485180	33954122
3.601798230	blackscholes	403.2	35.0	5.064	0.486	43894611	10864231	26638705	43871560	15226987	5806561
0.500256121	blackscholes	518.4	35.5	5.064	0.566	259561460	80545596	192259228	259581245	101194625	40924250
1.000758601	blackscholes	518.4	35.5	5.064	0.566	259573574	74836269	179045139	259571582	96926247	38583207
1.501218633	blackscholes	518.4	35.0	5.064	0.567	260410120	76624697	183042175	260410569	98038182	39281496
2.001671789	blackscholes	518.4	35.5	5.064	0.566	260741366	80429746	192168625	260738444	99942505	40939325
2.502037236	blackscholes	518.4	35.0	5.064	0.606	260558401	83444354	199745078	260557882	101512541	42333821
2.759303586	blackscholes	518.4	35.0	5.056	0.566	155737440	40808580	99095356	155714953	55791115	21490397
0.500256080	blackscholes	518.4	35.5	5.064	0.567	258457557	80327322	191602059	258479011	100633725	40753776
1.000768311	blackscholes	518.4	35.5	5.056	0.566	260603381	75054786	179542901	260600253	97377323	38720596
1.501140956	blackscholes	518.4	35.5	5.056	0.567	259650326	76449552	182608938	259648854	97485289	39155669
2.001601207	blackscholes	518.4	35.0	5.064	0.567	259764414	79408151	189525992	259763622	98939103	40362760
2.501999322	blackscholes	518.4	35.5	5.064	0.567	260409234	83524977	199909064	260407580	101420298	42355743
2.774600712	blackscholes	518.4	35.0	5.064	0.606	164011943	43599472	105660619	163989261	59253101	22884777
0.500250830	blackscholes	518.4	36.0	5.064	0.567	259919194	80584160	192987784	259940139	100801095	41040621
1.000667288	blackscholes	518.4	35.5	5.056	0.566	260722826	75256263	180474037	260698983	97179819	38880770
1.504920695	blackscholes	518.4	35.5	5.056	0.566	262188204	77357884	185283531	262210611	98345537	39705796
2.005395176	blackscholes	518.4	35.5	5.064	0.567	259845978	79579799	190559707	259842556	98960759	40594930
2.505766530	blackscholes	518.4	35.5	5.064	0.567	260156581	82437041	197441054	260154697	100466728	41822499
2.803237779	blackscholes	518.4	35.5	5.064	0.606	180170396	49199056	119766571	180148003	65738025	25891421
0.500274017	blackscholes	614.4	35.5	5.056	0.606	306219239	92375956	220857877	306238166	116521035	47094087
1.000702778	blackscholes	614.4	35.5	5.056	0.647	304291056	87069086	208418915	304268727	112320246	44834831
1.501109975	blackscholes	614.4	36.0	5.056	0.647	306498060	90738445	217020657	306518911	114396894	46370200
2.001446599	blackscholes	614.4	35.5	5.056	0.647	308331987	95033830	227122531	308332284	116932066	48218083
2.389275012	blackscholes	614.4	35.5	5.056	0.647	256703967	72773663	175965578	256678206	94287892	37783107
0.500310642	blackscholes	614.4	35.5	5.056	0.647	306737154	92869587	221828643	306757406	117055601	47341630
1.000696911	blackscholes	614.4	35.5	5.056	0.647	307395950	87958328	210499295	307395576	113368364	45331525
1.501038649	blackscholes	614.4	35.5	5.056	0.647	307913556	91387844	218563215	307909532	115276933	46757941
2.001408460	blackscholes	614.4	35.5	5.056	0.647	308861985	95421424	227834078	308870994	117205303	48445415
2.360978471	blackscholes	614.4	35.5	5.056	0.647	245977176	69197740	167404519	245944466	90029480	36012017
0.500226639	blackscholes	614.4	35.5	5.064	0.567	304916104	92418230	220819767	304935410	116551930	47106793
1.000596199	blackscholes	614.4	35.5	5.056	0.647	307474596	88337516	211380938	307474047	113733480	45506927
1.500992113	blackscholes	614.4	35.5	5.056	0.647	308594563	91799097	219440070	308595299	115592546	46910965
2.001323131	blackscholes	614.4	36.0	5.056	0.647	308304858	95227006	227522670	308300175	117114624	48382011
2.370124629	blackscholes	614.4	35.5	5.056	0.647	248062001	70082806	169428824	248039218	91023079	36398208
0.500203211	blackscholes	710.4	35.5	5.056	0.687	357410897	105680697	252467808	357431594	133922416	53954326
1.000599238	blackscholes	710.4	36.0	5.056	0.728	358299730	101861231	243509559	358299260	131045345	52391174
1.500896930	blackscholes	710.4	35.5	5.056	0.728	357730793	106413377	254163008	357729490	132804228	54188569
2.001225092	blackscholes	710.4	35.5	5.056	0.728	371333455	110969651	266426613	371373710	138525898	56775226
2.056807364	blackscholes	710.4	35.5	5.056	0.728	50187920	11640767	28499156	50120824	16742430	6270155
0.500206032	blackscholes	710.4	35.5	5.056	0.687	348410566	103182009	246685490	348432723	130618357	52712237
1.000622902	blackscholes	710.4	36.0	5.056	0.728	357533424	101337385	242460329	357529838	130222692	52161099
1.500916123	blackscholes	710.4	35.5	5.056	0.728	355262897	105285935	251689383	355261080	131463645	53683330
2.001218980	blackscholes	710.4	35.5	5.056	0.728	359256110	109798178	263161048	359255081	135178456	55894705
2.098077469	blackscholes	710.4	35.5	5.056	0.728	86625351	20036596	49042494	86601527	28972076	10796628
0.500216561	blackscholes	710.4	36.0	5.056	0.647	357869968	105973850	253345900	357892579	134368117	54142198
1.000565156	blackscholes	710.4	35.5	5.056	0.728	357753808	101468180	242570778	357750828	130260099	52137684
1.500976929	blackscholes	710.4	36.0	5.056	0.728	354823109	105562530	252281504	354821486	131780648	53789696
2.001322504	blackscholes	710.4	35.5	5.056	0.728	366999525	110244438	264630215	367044429	137321624	56343064
2.064200701	blackscholes	710.4	36.0	5.056	0.728	57317778	13223975	32270144	57247117	19000351	7097272
0.500178495	blackscholes	921.6	36.0	5.056	0.768	463059166	131780389	314903455	463081793	167865044	67487696
1.000484961	blackscholes	921.6	36.0	5.048	0.888	463343211	130308119	311275276	463341534	165670331	66776927
1.500809814	blackscholes	921.6	36.0	5.048	0.888	464042672	137365895	329121289	464038878	169619607	70092488
1.628161761	blackscholes	921.6	36.0	5.048	0.888	139472315	35055891	84636609	139447564	47478792	18327395
0.500240222	blackscholes	921.6	36.5	5.056	0.807	466508138	132891040	317982151	466530304	169148437	68143403
1.000539873	blackscholes	921.6	36.5	5.048	0.888	463846782	130565567	312349577	463845343	165376035	66923752
1.500819784	blackscholes	921.6	36.0	5.048	0.888	464248684	137836844	330141837	464247719	169496337	70225598
1.643712400	blackscholes	921.6	36.5	5.048	0.888	153361943	38268913	92871260	153334642	52089064	20153941
