#Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	EXC_TAKEN	BR_MIS_PRED	BUS_CYCLES
2.001879701	blackscholes	1	403.2	34.5	5.072	0.446	200172073	60199219	76508181	17439	1165525	200173037
2.502466594	blackscholes	1	403.2	34.5	5.072	0.486	202610137	63003706	78582226	17648	1145864	202607285
3.003038693	blackscholes	1	403.2	34.5	5.064	0.486	200859279	63327200	78101409	17525	1124009	200860589
3.503683242	blackscholes	1	403.2	34.5	5.064	0.446	214304326	63930573	81818969	18372	1199612	214360250
3.568215833	blackscholes	1	403.2	35	5.072	0.446	36586449	9053905	12752175	3422	195419	36494968
0.500314778	blackscholes	1	403.2	34.5	5.072	0.446	198731977	63882964	79150466	14991	1204328	198763218
1.000962479	blackscholes	1	403.2	35	5.072	0.486	201565574	57858347	75916055	16586	1235069	201562624
1.501451529	blackscholes	1	403.2	34.5	5.064	0.486	202396878	59738788	76721981	17335	1204988	202397286
2.002029904	blackscholes	1	403.2	34.5	5.072	0.486	203209736	60925734	77613697	17770	1189887	203210070
2.502736719	blackscholes	1	403.2	35	5.064	0.486	203621861	63600811	79065152	17828	1163695	203620574
3.003387386	blackscholes	1	403.2	34.5	5.064	0.486	202752516	64630283	79172488	17785	1135561	202752296
3.503889872	blackscholes	1	403.2	35	5.064	0.445	220118031	63771048	83136315	19175	1242690	220124449
3.539902448	blackscholes	1	403.2	35	5.072	0.486	16953450	4585819	6022161	1497	90984	16911484
0.500353762	blackscholes	1	518.4	34.5	5.064	0.567	260074448	80546483	100909512	19714	1522958	260109033
1.000836484	blackscholes	1	518.4	34.5	5.064	0.567	260156357	74613142	96743205	21320	1517514	260150732
1.501245819	blackscholes	1	518.4	34.5	5.064	0.567	259588659	75963332	97003436	22115	1474310	259590963
2.001742499	blackscholes	1	518.4	34.5	5.064	0.567	259146487	79435773	98797385	22261	1434156	259143489
2.502243292	blackscholes	1	518.4	34.5	5.064	0.567	260930630	82019943	100274641	22378	1411673	260930155
2.82995065	blackscholes	1	518.4	35	5.064	0.567	193854490	53356065	70971366	16541	1064486	193818551
0.500360091	blackscholes	1	518.4	35	5.064	0.567	258692953	80321973	100502462	19647	1526340	258736354
1.000811747	blackscholes	1	518.4	35	5.064	0.567	258961286	74434097	96413088	21203	1515547	258949562
1.501218765	blackscholes	1	518.4	35	5.064	0.567	258869047	75982909	96879732	22157	1478542	258867350
2.001676878	blackscholes	1	518.4	35	5.064	0.567	258979058	79421200	98593196	22288	1440373	258978678
2.502088374	blackscholes	1	518.4	35	5.064	0.567	258699183	81533608	99563604	22209	1408976	258696719
