Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	BUS_CYCLES	BUS_ACCESS_PERIPH	BR_RETURN_SPEC
4.006133025	blackscholes	307.2	34.5	5.072	0.405	152946969	49028802	60212588	152948216	1226	2627467
4.506861814	blackscholes	307.2	35.0	5.072	0.405	166212845	50625236	64551097	166244662	1193	2778347
4.650697621	blackscholes	307.2	35.0	5.072	0.405	55340299	13574325	19449321	55285824	390	867058
0.500527118	blackscholes	307.2	34.5	5.072	0.405	152654827	51655589	62756961	152682563	1053	2618320
1.001283616	blackscholes	307.2	34.0	5.072	0.405	153676716	43950989	58166302	153668499	1246	2522505
1.502148240	blackscholes	307.2	34.5	5.072	0.365	154094539	45336809	58853339	154093876	1159	2557465
2.002685567	blackscholes	307.2	35.0	5.072	0.405	154619567	46169369	59230479	154618654	1213	2578356
2.503277582	blackscholes	307.2	34.5	5.072	0.365	153509760	46309335	59001663	153508066	1280	2575454
3.004002777	blackscholes	307.2	34.5	5.072	0.405	153706076	48043625	59995016	153704370	1172	2617884
3.504686617	blackscholes	307.2	34.5	5.072	0.405	153781788	48571688	60100865	153781576	1115	2633931
4.005363114	blackscholes	307.2	34.5	5.072	0.405	154108646	50049013	60990288	154108527	1152	2670556
4.506150758	blackscholes	307.2	34.5	5.072	0.405	166693476	50076937	64313128	166715995	1333	2773160
4.643079919	blackscholes	307.2	34.5	5.072	0.405	50083934	12311888	17585776	50038733	387	781694
0.500392741	blackscholes	307.2	34.5	5.072	0.405	154192841	51998362	63320951	154213519	1294	2619119
1.001204969	blackscholes	307.2	34.5	5.072	0.405	154439748	44031285	58433938	154437199	1238	2505259
1.501910059	blackscholes	307.2	34.5	5.072	0.365	152937192	44977363	58452565	152970246	1215	2513981
2.005593802	blackscholes	307.2	34.5	5.072	0.405	155068835	46523964	59672744	155034868	1235	2561875
2.506329206	blackscholes	307.2	34.5	5.072	0.365	153400344	46134384	59060051	153444142	1204	2548465
3.006894345	blackscholes	307.2	35.0	5.072	0.365	154407608	48419942	60363093	154361929	1084	2603651
3.507450370	blackscholes	307.2	35.0	5.072	0.405	153174643	47860710	59704464	153172232	1229	2582459
4.008113220	blackscholes	307.2	34.5	5.072	0.405	153745975	50081627	60945194	153737139	1057	2638757
4.508710600	blackscholes	307.2	34.5	5.072	0.405	164697838	48448135	63188175	164707813	1319	2692515
4.606709566	blackscholes	307.2	34.5	5.072	0.405	39320463	9853878	13768366	39297594	268	611016
0.500415970	blackscholes	403.2	34.5	5.064	0.486	201453440	64815063	80551823	201474361	1106	3363474
1.001030746	blackscholes	403.2	34.5	5.064	0.486	201739720	58001604	76053018	201736921	1372	3269532
1.501771045	blackscholes	403.2	34.5	5.072	0.446	200569548	59243805	76143452	200568502	1267	3275507
